No.,Chromosome ,start,end,DMR length (bp),No. CpGs in DMR,strand,pval,qval,Methylation difference (tumor/normal)* ,Genomic locus,Methylated in:
1,chr20,23029076,23030598,1523,158,*,3.41507893954969E-06,8.18549877302153E-05,0.696410463366634,promoter.THBD/promoter.NA/1to5kb.NA/CDS.THBD/CDS.NA/5UTR.THBD/5UTR.NA/exon.THBD/exon.NA/intron.NA,cADN and SSL specific markers
2,chr10,15760932,15762222,1291,98,*,3.41507893954969E-06,8.18549877302153E-05,0.62952159461806,promoter.ITGA8/CDS.ITGA8/exon.ITGA8/intron.ITGA8,cADN and SSL specific markers
3,chr8,23559747,23560745,999,88,*,3.41507893954969E-06,8.18549877302153E-05,0.554902905568429,CDS.NKX2-6/exon.NKX2-6/intron.NKX2-6/intergenic.NA,cADN and SSL specific markers
4,chr4,110223138,110224329,1192,100,*,3.41507893954969E-06,8.18549877302153E-05,0.687238624468447,promoter.COL25A1/1to5kb.COL25A1/CDS.COL25A1/5UTR.COL25A1/exon.COL25A1/intron.COL25A1,cADN and SSL specific markers
5,chr3,28617629,28617969,341,33,*,3.41507893954969E-06,8.18549877302153E-05,0.716548856674159,promoter.NA/1to5kb.NA/exon.LINC00693/intron.LINC00693,cADN and SSL specific markers
6,chr2,237476627,237477407,781,54,*,3.41507893954969E-06,8.18549877302153E-05,0.666147533552205,promoter.ACKR3/1to5kb.ACKR3/1to5kb.NA/intron.ACKR3,cADN and SSL specific markers
7,chr19,30019247,30020246,1000,79,*,3.41507893954969E-06,8.18549877302153E-05,0.663016299151326,1to5kb.LOC284395/CDS.VSTM2B/exon.VSTM2B/intron.VSTM2B,cADN and SSL specific markers
8,chr20,59828871,59829082,212,21,*,3.41507893954969E-06,8.18549877302153E-05,0.740850928175097,intron.CDH4,cADN and SSL specific markers
9,chr1,14925078,14926075,998,110,*,3.41507893954969E-06,8.18549877302153E-05,0.69180174615986,promoter.KAZN/CDS.KAZN/5UTR.KAZN/exon.KAZN/intron.KAZN,cADN and SSL specific markers
10,chr8,145105253,145105601,349,28,*,3.41507893954969E-06,8.18549877302153E-05,0.732699389890075,intergenic.NA,cADN and SSL specific markers
